1 CHOD JAN KOWALSKI
CZAS	aX	aY	aZ	1462	0	0	0	
4142	12360	2296	2132	
4145	12408	2296	2188	
4148	12316	2388	2500	
4150	12440	2424	2468	
4153	12704	2560	2584	
4156	12660	2476	2672	
4159	12660	2664	2880	
4162	12800	2688	2940	
4164	12668	2800	2972	
4167	12764	2804	3148	
4170	12788	2928	3152	
4176	12736	2840	3164	
4179	12580	2820	3500	
4183	12660	2724	3572	
4186	12448	2528	3588	
4188	12536	2632	3680	
4191	12568	2460	3848	
4194	12448	2304	4128	
4197	12552	2220	4220	
4199	12724	2140	4516	
4202	12812	2080	4588	
4205	13116	2156	4872	
4208	13332	2124	4884	
4211	13700	1980	5128	
4213	13972	2060	5368	
4216	14164	2008	5460	
4219	14492	1916	5412	
4222	14568	1936	5536	
4225	14784	1852	5524	
4228	15016	2028	5228	
4231	15132	2036	4996	
4234	15096	2080	4804	
4237	15236	2268	4824	
4239	15408	2236	4524	
4246	15708	1896	4152	
4248	15848	1956	4256	
4251	16060	2052	3932	
4254	16216	2028	4080	
4257	16372	2052	4016	
4260	16540	2064	3976	
4262	16804	1960	3856	
4265	17036	1960	3960	
4269	17168	1752	3956	
4272	17216	1772	4024	
4274	17468	1884	3892	
4277	17500	1908	3756	
4280	17636	1908	3652	
4283	18020	1964	3340	
4286	18284	2040	3212	
4288	18324	1936	2872	
4291	18548	2056	2320	
4294	18520	2520	2188	
4297	18716	2792	1668	
4299	18612	2888	1200	
4302	18736	3056	1216	
4305	18792	3088	1228	
4308	18848	3116	1156	
4312	19032	3132	1176	
4318	19036	3292	1692	
4321	19036	3136	1908	
4323	18876	3216	2364	
4326	18816	3040	2616	
4329	18940	3164	3292	
4332	19140	2976	4012	
4335	19116	2992	4288	
4337	19340	3048	4848	
4340	19392	3016	4960	
4343	19508	3028	5680	
4346	19568	3108	6464	
4348	19868	3052	7064	
4352	19928	2940	7848	
4355	20000	2828	8580	
4358	19944	2812	8916	
4361	19888	3108	9456	
4363	19716	2988	10228	
4366	19748	2832	10728	
4369	19804	2792	11192	
4372	20184	2784	11368	
4375	20932	2728	11364	
4378	21788	2836	11376	
4380	22792	3152	10928	
4387	24256	3700	8948	
4389	24888	4172	7276	
4392	25228	4900	5512	
4396	25364	5716	3636	
4399	25356	5992	2588	
4402	24828	6216	988	
4404	24588	6340	-272	
4407	23944	5928	-1348	
4410	23264	5840	-2224	
4413	22720	5924	-3008	
4416	21944	6552	-3840	
4418	21740	6812	-4304	
4421	21396	6732	-4668	
4424	20984	6504	-5024	
4427	20648	5940	-5216	
4430	20276	5648	-5412	
4432	20048	5660	-5384	
4435	19764	5564	-5312	
4439	19392	5424	-5028	
4442	19120	5412	-4720	
4445	18772	5044	-4428	
4448	18812	4692	-4124	
4454	18696	4152	-3060	
4457	18644	4064	-2424	
4460	18436	3628	-2152	
4462	18092	2928	-1852	
4465	18056	2760	-1952	
4468	17632	2764	-2008	
4471	17416	2856	-2320	
4474	16916	3108	-2608	
4476	16656	3556	-2960	
4480	16344	3776	-3224	
4483	16320	3364	-3496	
4486	16472	3504	-3432	
4489	16848	3596	-3460	
4492	17020	3500	-3356	
4494	16856	3280	-3056	
4497	16708	2888	-3140	
4500	16932	2764	-3108	
4503	17144	2836	-3264	
4506	17260	3068	-3156	
